Legislator,Contribution Amount
"Addison ""Mitch"" McConnell",1129758.0
Alan Wayne Allard,2000.0
Amy Klobuchar,154649.0
Andrew Lamar Alexander,337500.0
Arlen Specter,584779.0
Barack Obama,397427.0
Barbara A. Mikulski,78210.0
Barbara Boxer,383483.0
Ben Cardin,180261.0
Bernie Sanders,91120.0
"Birch ""Evan"" Bayh",189230.0
Blanche Lincoln,248294.0
Bob Bennett,101928.0
Bob Casey,229263.0
Bob Corker,732856.0
Bob Menéndez,157010.0
Byron Dorgan,134250.0
Carl Levin,307444.0
"Charles ""Pat"" Roberts",443186.0
Chester Trent Lott,157450.0
Chris Dodd,117400.0
"Christopher ""Kit"" Bond",445543.0
Chuck Grassley,243587.0
Chuck Hagel,27800.0
Chuck Schumer,216848.0
Claire McCaskill,225910.0
"Clarence ""Bill"" Nelson",305545.0
Clarence Saxby Chambliss,1241847.0
Dan Inouye,45950.0
Daniel K. Akaka,50660.0
David Vitter,592379.0
Debbie Stabenow,230163.0
Dianne Feinstein,197315.0
Dick Durbin,165085.0
Dick Lugar,170763.0
"Earl ""Ben"" Nelson",238950.0
Frank R. Lautenberg,152445.0
Gaylord Kent Conrad,138625.0
George Voinovich,423363.0
Gordon Smith,461053.0
Harry Reid,271923.0
Herb Kohl,40.0
Hillary Clinton,826137.0
Jeff Sessions,243320.0
"Jesse ""Jeff"" Bingaman",168692.0
Jim Bunning,186660.0
Jim DeMint,731519.0
Jim Inhofe,665797.0
Jim Webb,153955.0
Joe Biden,182700.0
Joe Lieberman,608465.0
"John ""Jack"" Reed",49560.0
"John ""Jay"" Rockefeller",192600.0
John Cornyn,1607854.0
John Ensign,157585.0
John F. Kerry,46365.0
John McCain,96995.0
John Sununu,698761.0
John Thune,1455480.0
John Warner,3800.0
Johnny Isakson,353328.0
Jon Kyl,833563.0
Jon Tester,242382.0
Judd Gregg,99000.0
Kay Bailey Hutchison,1002298.0
Ken Salazar,604114.0
Larry Craig,54283.0
Lindsey Graham,173468.0
Lisa Murkowski,248695.0
Maria Cantwell,275685.0
Mark L. Pryor,280890.0
Mary Elizabeth Dole,952263.0
Mary L. Landrieu,436060.0
Max Baucus,395280.0
Mel Martinez,724210.0
Mike Crapo,103640.0
Mike Enzi,96300.0
Norm Coleman,1091771.0
Olympia J. Snowe,116839.0
Orrin G. Hatch,220600.0
Patrick J. Leahy,41500.0
Patty Murray,187484.0
Pete Domenici,257750.0
Richard Burr,644205.0
Richard C. Shelby,157900.0
Robert Byrd,75100.0
Ron Wyden,142400.0
Russ Feingold,136293.0
Sam Brownback,118990.0
Sheldon Whitehouse,146360.0
Sherrod Brown,159290.0
Susan M. Collins,272749.0
Ted Kennedy,111020.0
Ted Stevens,133700.0
Tim Johnson,125376.0
Tom Carper,207590.0
Tom Coburn,1110270.0
Tom Harkin,191831.0
William Thad Cochran,208050.0
